@relation someshit

@attribute Date numeric
@attribute Time numeric
@attribute IP_Address string
@attribute Port numeric
@attribute username string
@attribute Country string
@attribute City string
@attribute Longitude numeric
@attribute Latitude numeric

@data
2,15,"116.31.116.38",21416,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"112.74.63.26",50482,"ubuntu","China","Hangzhou",120.16140000000001,30.293599999999998
2,16,"59.45.175.32",46217,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"59.45.175.32",50070,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"59.45.175.32",50070,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"59.45.175.32",38485,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"59.45.175.32",38485,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"59.45.175.32",44900,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"140.206.77.100",64866,"root","China","Shanghai",121.3997,31.045600000000007
2,16,"221.194.44.224",55284,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.44.224",56077,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"112.74.63.26",45252,"ubuntu","China","Hangzhou",120.16140000000001,30.293599999999998
2,16,"221.194.44.224",56134,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.44.224",59471,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.44.224",60055,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.44.224",32951,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.44.224",35414,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",38172,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.44.224",38584,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",39034,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.44.224",36282,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",41130,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.44.224",37047,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",39892,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",38859,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",38784,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",36029,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",37608,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",39662,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",41000,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",38601,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",38159,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"121.18.238.104",39988,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"116.31.116.38",14405,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"221.194.47.249",59372,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.249",59313,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.249",59463,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.249",60592,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.249",36602,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.249",40329,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"116.31.116.38",32615,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"116.31.116.38",54079,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"116.31.116.38",13740,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"59.45.175.32",43472,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"116.31.116.38",55106,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"59.45.175.32",55812,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"59.45.175.32",17752,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"116.31.116.38",28121,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"59.45.175.32",62842,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"59.45.175.32",26979,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"59.45.175.32",26979,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"112.74.63.26",47024,"ubuntu","China","Hangzhou",120.16140000000001,30.293599999999998
2,16,"112.74.63.26",43612,"ubuntu","China","Hangzhou",120.16140000000001,30.293599999999998
2,16,"59.45.175.32",61936,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"116.31.116.38",40549,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"59.45.175.32",61415,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"112.74.63.26",43748,"ubuntu","China","Hangzhou",120.16140000000001,30.293599999999998
2,16,"59.45.175.32",50593,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"116.31.116.38",53395,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"59.45.175.32",30909,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"59.45.175.32",30909,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"59.45.175.32",62512,"root","China","Shenyang",123.43279999999999,41.79220000000001
2,16,"116.31.116.38",31490,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"116.31.116.38",18441,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"116.31.116.38",26457,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"221.194.47.211",40978,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"116.31.116.38",60527,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"221.194.47.211",39947,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",41248,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",39307,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",38218,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",40863,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",43087,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",41083,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",42194,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"59.45.175.32",45847,"root","China","Shenyang",123.43279999999999,41.79220000000001
